breed,heritage,price,,,,with outlier,w/o outlier
7,0,1200,,,,0.025580303,0.1420312
9,0,750,,,,-0.461174561,-0.564168712
6,0,2200,,,,1.107257778,1.711364339
16,0,600,,,,-0.623426182,-0.799568682
18,0,1700,,,,0.566419041,0.92669777
16,0,2500,,,,1.431761021,2.18216428
13,1,750,,,,-0.461174561,-0.564168712
16,0,1500,,,,0.350083546,0.612831142
7,0,500,,,,-0.731593929,-0.956501996
18,0,800,,,,-0.407090687,-0.485702055
9,0,795,,,,-0.412499074,-0.49354872
3,0,1688,,,,0.553438911,0.907865772
8,0,3000,,,,1.972599758,2.966830849
18,0,850,,,,-0.353006813,-0.407235398
1,0,1200,,,,0.025580303,0.1420312
9,0,700,,,,-0.515258434,-0.642635369
17,0,1000,,,,-0.190755192,-0.171835427
9,0,495,,,,-0.737002317,-0.964348662
10,0,600,,,,-0.623426182,-0.799568682
14,0,800,,,,-0.407090687,-0.485702055
15,1,2200,,,,1.107257778,1.711364339
7,0,900,,,,-0.298922939,-0.328768741
9,0,1500,,,,0.350083546,0.612831142
18,0,1000,,,,-0.190755192,-0.171835427
15,0,1500,,,,0.350083546,0.612831142
7,0,900,,,,-0.298922939,-0.328768741
5,0,375,,,,-0.866803614,-1.152668638
9,0,800,,,,-0.407090687,-0.485702055
11,0,1800,,,,0.674586788,1.083631083
18,0,1300,,,,0.133748051,0.298964514
17,0,500,,,,-0.731593929,-0.956501996
16,0,1000,,,,-0.190755192,-0.171835427
13,0,1200,,,,0.025580303,0.1420312
13,0,650,,,,-0.569342308,-0.721102025
12,0,2000,,,,0.890922283,1.397497711
1,0,1500,,,,0.350083546,0.612831142
11,0,700,,,,-0.515258434,-0.642635369
3,1,1500,,,,0.350083546,0.612831142
12,0,1500,,,,0.350083546,0.612831142
10,0,2250,,,,1.161341652,1.789830996
10,1,1500,,,,0.350083546,0.612831142
9,0,450,,,,-0.785677803,-1.034968653
2,0,650,,,,-0.569342308,-0.721102025
20,0,850,,,,-0.353006813,-0.407235398
7,0,200,,,,-1.056097172,-1.427301938
3,0,1500,,,,0.350083546,0.612831142
9,0,625,,,,-0.596384245,-0.760335354
1,0,1000,,,,-0.190755192,-0.171835427
14,0,1900,,,,0.782754536,1.240564397
7,0,600,,,,-0.623426182,-0.799568682
14,0,500,,,,-0.731593929,-0.956501996
17,0,875,,,,-0.325964876,-0.368002069
2,0,150,,,,-1.110181046,-1.505768595
3,0,1500,,,,0.350083546,0.612831142
5,0,500,,,,-0.731593929,-0.956501996
9,1,2000,,,,0.890922283,1.397497711
20,0,200,,,,-1.056097172,-1.427301938
1,0,750,,,,-0.461174561,-0.564168712
2,0,350,,,,-0.893845551,-1.191901967
10,0,600,,,,-0.623426182,-0.799568682
13,1,1500,,,,0.350083546,0.612831142
10,0,600,,,,-0.623426182,-0.799568682
14,1,1800,,,,0.674586788,1.083631083
3,0,1600,,,,0.458251293,0.769764456
13,1,2000,,,,0.890922283,1.397497711
13,0,1350,,,,0.187831924,0.377431171
14,1,2700,,,,1.648096516,2.496030908
8,0,3000,,,,1.972599758,2.966830849
15,1,2500,,,,1.431761021,2.18216428
4,0,700,,,,-0.515258434,-0.642635369
18,0,1500,,,,0.350083546,0.612831142
13,0,500,,,,-0.731593929,-0.956501996
1,0,1000,,,,-0.190755192,-0.171835427
20,0,550,,,,-0.677510056,-0.878035339
8,0,2500,,,,1.431761021,2.18216428
9,0,1200,,,,0.025580303,0.1420312
3,0,1200,,,,0.025580303,0.1420312
2,0,400,,,,-0.839761677,-1.11343531
8,0,2500,,,,1.431761021,2.18216428
18,0,1800,,,,0.674586788,1.083631083
19,0,800,,,,-0.407090687,-0.485702055
10,0,1500,,,,0.350083546,0.612831142
12,0,1200,,,,0.025580303,0.1420312
13,0,300,,,,-0.947929424,-1.270368624
13,0,800,,,,-0.407090687,-0.485702055
18,0,1200,,,,0.025580303,0.1420312
11,0,1500,,,,0.350083546,0.612831142
11,0,900,,,,-0.298922939,-0.328768741
18,0,450,,,,-0.785677803,-1.034968653
14,0,1000,,,,-0.190755192,-0.171835427
7,0,650,,,,-0.569342308,-0.721102025
3,0,795,,,,-0.412499074,-0.49354872
16,0,800,,,,-0.407090687,-0.485702055
9,1,600,,,,-0.623426182,-0.799568682
13,0,800,,,,-0.407090687,-0.485702055
7,0,800,,,,-0.407090687,-0.485702055
3,0,850,,,,-0.353006813,-0.407235398
1,0,1500,,,,0.350083546,0.612831142
17,0,500,,,,-0.731593929,-0.956501996
