page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Standard Poodle,Female,09-11-2017 (9 Weeks),No,No,$1400 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Male,10-24-2017 (3 Weeks),No,No,$500 USD Buyer tips,Not available,"Current vaccinations, Health guarantee"
Standard Poodle,Male,08-20-2017 (12 Weeks),No,No,$600 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Health guarantee"
Standard Poodle,Male,06-27-2017 (4 Months),No,No,$600 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations"
Standard Poodle,Female,09-10-2017 (9 Weeks),No,No,$1300 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Standard Poodle,Female,08-20-2017 (12 Weeks),No,No,$1200 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Male,08-27-2017 (11 Weeks),Yes,No,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Female,10-06-2017 (5 Weeks),Yes,Yes,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Female,11-20-2017 (Unborn),No,No,$899 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Standard Poodle,Female,08-23-2017 (12 Weeks),No,No,$750 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Female,09-20-2017 (8 Weeks),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Female,05-07-2017 (6 Months),Yes,No,$1696 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Male,10-14-2017 (4 Weeks),No,No,$2000 CAD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Male,09-06-2016 (14 Months),No,No,$1500 USD (shipping included!) Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Female,09-26-2017 (7 Weeks),Yes,Yes,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Standard Poodle,N/A,10-14-2017 (4 Weeks),Yes,No,$1350 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Standard Poodle,Male,08-12-2017 (13 Weeks),No,No,$600 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination, Health guarantee"
Standard Poodle,Male,09-27-2017 (7 Weeks),No,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Standard Poodle,Male,10-29-2017 (18 Days),No,No,$1300 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Male,08-19-2017 (12 Weeks),Yes,No,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Female,10-20-2017 (3 Weeks),Yes,No,$2000 USD Buyer tips,Worldwide,
Standard Poodle,Male,08-20-2017 (12 Weeks),No,No,$600 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Health guarantee"
Standard Poodle,Male,12-08-2014 (2 Years),No,No,$600 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Pedigree"
Standard Poodle,Male,07-16-2017 (4 Months),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Female,10-01-2017 (6 Weeks),No,No,$1300 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Female,08-03-2017 (15 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Standard Poodle,Male,09-22-2017 (7 Weeks),No,No,$2000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Male,06-13-2017 (5 Months),Yes,Yes,$950 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Male,08-10-2017 (14 Weeks),Yes,No,$900 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Male,07-22-2017 (16 Weeks),Yes,Yes,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Female,06-14-2017 (5 Months),No,No,$600 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Standard Poodle,Female,10-23-2017 (3 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Standard Poodle,Female,08-30-2017 (11 Weeks),No,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Female,10-01-2017 (6 Weeks),No,No,$1300 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Female,11-06-2017 (10 Days),No,No,$1400 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Male,09-11-2017 (9 Weeks),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Male,09-16-2017 (8 Weeks),Yes,Yes,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Female,10-21-2017 (3 Weeks),No,Yes,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Male,08-12-2017 (13 Weeks),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Standard Poodle,Male,06-29-2017 (4 Months),No,No,$500 USD Buyer tips,Worldwide,Current vaccinations
Standard Poodle,Male,08-12-2016 (15 Months),Yes,Yes,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Standard Poodle,Male,10-17-2017 (4 Weeks),Yes,Yes,$1800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Male,07-22-2017 (16 Weeks),No,No,$950 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Standard Poodle,Male,10-25-2017 (3 Weeks),No,No,$750 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Standard Poodle,Male,06-05-2017 (5 Months),No,No,$500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Female,09-16-2017 (8 Weeks),Yes,Yes,$1900 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Standard Poodle,Male,12-05-2014 (2 Years),Yes,Yes,$0 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Standard Poodle,N/A,12-13-2017 (Unborn),No,No,$0 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Standard Poodle,Female,11-12-2017 (4 Days),Yes,No,$1800 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Pedigree, Travel crate"
