page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Boxer,Female,10-03-2017 (6 Weeks),Yes,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Female,03-27-2017 (7 Months),No,No,$0 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Veterinarian examination"
Boxer,N/A,11-30-2017 (Unborn),Yes,Yes,$1000 USD Buyer tips,Worldwide,"Health certificate, Health guarantee"
Boxer,Female,09-16-2017 (8 Weeks),No,No,$700 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Male,09-28-2017 (7 Weeks),No,No,$850 USD Buyer tips,United States,"Registered/registerable, Current vaccinations"
Boxer,Male,09-14-2017 (9 Weeks),Yes,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Boxer,Female,08-18-2017 (12 Weeks),No,No,$600 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Female,06-16-2017 (5 Months),No,No,$850 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Female,09-03-2017 (10 Weeks),Yes,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Female,10-21-2017 (3 Weeks),No,No,$850 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination"
Boxer,Female,07-16-2017 (4 Months),Yes,Yes,$2500 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Male,10-02-2017 (6 Weeks),No,No,$950 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Female,09-22-2017 (7 Weeks),No,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Boxer,Female,08-24-2017 (12 Weeks),No,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Female,09-01-2017 (10 Weeks),No,No,$500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Boxer,Female,10-06-2013 (4 Years),Yes,No,$200 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination"
Boxer,Female,08-29-2017 (11 Weeks),No,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Boxer,Male,08-14-2017 (13 Weeks),No,No,$450 USD Buyer tips,Worldwide,"Health certificate, Pedigree"
Boxer,Male,10-12-2017 (5 Weeks),No,No,$1500 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Boxer,Female,07-02-2017 (4 Months),No,No,$600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
