page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Bernese Mountain Dog,Female,08-16-2017 (13 Weeks),Yes,Yes,$3500 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Pedigree"
Bernese Mountain Dog,Female,09-25-2017 (7 Weeks),Yes,No,$1800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Bernese Mountain Dog,Female,08-15-2017 (13 Weeks),No,No,$699 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Bernese Mountain Dog,Male,09-18-2017 (8 Weeks),Yes,Yes,$1845 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,N/A,09-24-2017 (7 Weeks),No,No,$1400 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,09-19-2017 (8 Weeks),No,No,$1400 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Bernese Mountain Dog,Male,09-12-2017 (9 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Bernese Mountain Dog,Female,11-02-2010 (7 Years),No,No,$0 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,08-18-2017 (12 Weeks),Yes,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Bernese Mountain Dog,Female,11-01-2017 (15 Days),Yes,No,$1170 USD (shipping included!) Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,10-02-2017 (6 Weeks),No,No,$1200 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,09-14-2017 (9 Weeks),Yes,Yes,$1150 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Bernese Mountain Dog,Female,11-07-2017 (9 Days),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Pedigree"
Bernese Mountain Dog,Male,11-13-2017 (3 Days),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,09-10-2017 (9 Weeks),No,No,$950 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Bernese Mountain Dog,Male,10-05-2017 (6 Weeks),No,No,$1688 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Bernese Mountain Dog,Female,08-21-2017 (12 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,09-19-2017 (8 Weeks),No,No,$1200 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,09-02-2017 (10 Weeks),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Bernese Mountain Dog,Female,08-21-2017 (12 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,08-16-2017 (13 Weeks),No,No,$850 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Bernese Mountain Dog,Male,09-13-2017 (9 Weeks),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,09-24-2017 (7 Weeks),No,No,$1275 USD Buyer tips,United States,"Registered/registerable, Veterinarian examination, Health certificate, Health guarantee"
