page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Great Dane,Female,07-04-2017 (4 Months),No,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Great Dane,Male,09-06-2017 (10 Weeks),Yes,No,$600 USD Buyer tips,Not available,"Registered/registerable, Health certificate, Health guarantee"
Great Dane,Male,10-08-2017 (5 Weeks),No,No,$1300 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Great Dane,Male,09-01-2017 (10 Weeks),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Male,10-10-2017 (5 Weeks),Yes,Yes,$1250 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Great Dane,Male,10-02-2017 (6 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Travel crate"
Great Dane,Female,09-17-2017 (8 Weeks),Yes,Yes,$700 USD Buyer tips,United States,Current vaccinations
Great Dane,Male,08-30-2017 (11 Weeks),No,No,$750 USD Buyer tips,Select Areas,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Great Dane,Male,09-22-2015 (2 Years),No,No,$0 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Great Dane,Female,11-13-2017 (3 Days),No,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Great Dane,Female,10-28-2017 (19 Days),Yes,No,$1600 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Great Dane,Female,09-21-2017 (8 Weeks),Yes,Yes,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Male,09-29-2017 (6 Weeks),No,Yes,$1000 USD Buyer tips,United States,Registered/registerable
Great Dane,Male,10-21-2017 (3 Weeks),No,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Great Dane,Female,10-06-2017 (5 Weeks),No,No,$1800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Great Dane,Male,07-19-2017 (17 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Male,09-13-2017 (9 Weeks),No,No,$700 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Great Dane,Male,10-23-2017 (3 Weeks),Yes,No,$1750 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Great Dane,Female,07-02-2017 (4 Months),No,No,$600 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Great Dane,Male,10-05-2016 (13 Months),Yes,Yes,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Female,08-03-2017 (15 Weeks),Yes,No,$500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Male,08-31-2017 (11 Weeks),No,No,$450 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Great Dane,Female,10-08-2017 (5 Weeks),No,No,$1400 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Great Dane,Female,09-16-2017 (8 Weeks),No,No,$750 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Travel crate"
Great Dane,Female,08-30-2017 (11 Weeks),No,No,$750 USD Buyer tips,Select Areas,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Great Dane,Male,10-02-2017 (6 Weeks),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,N/A,10-21-2017 (3 Weeks),Yes,Yes,$2500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
